FURNISHED,GOURMET_SPACE,KITCHEN,DRESS_ROOM,BATHROOMS,BALCONY,SPORTS_COURT,FOOD_COURT,RECREATION_AREA,REST_AREAS,POOL,SAFETY,VIEW,ACCESSIBILITY,WORK_AREAS,GARAGE,SUSTAINABILITY,OUTDOOR_AREAS,PET_FRIENDLY,MID_END_APARTMENT_AMENITIES,HIGH_END_APARTMENT_AMENITIES,HIGH_END_CONDO_AMENITIES,ZONE_CODE,NEIGHBORHOOD_CODE,ZONE,NEIGHBORHOOD,STREET,PRICE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BEDROOMS,TOTAL_AMENITIES,ELEVATOR,SERVICE_AREA,LAUNDRY,LUNCH_ROOM,ESSENTIAL_PUBLIC_SERVICES,NEAR_ACCESS_ROADS,NEAR_SCHOOL,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,NEAR_PUBLIC_TRANSPORT,COVERAGE,YEARLY_EXPENSES
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,2,123,Zona Norte,Vila Isabel,Rua Araújo Lima,389000,67,67,1,0,2,14,True,True,False,False,False,False,False,False,False,False,False,8393
True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Rua Professor Motta Maia,680000,79,79,2,1,3,12,True,True,False,False,False,False,False,False,False,False,False,13680
False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,4,28,Zona Sul,Copacabana,Avenida Nossa Senhora de Copacabana,630000,62,62,0,0,2,6,True,False,False,False,False,False,False,False,False,False,False,10722
True,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False,2,112,Zona Norte,Tijuca,Avenida Maracanã,870000,70,70,1,1,2,20,True,True,False,False,False,False,False,False,False,False,False,14576
True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Belisário Leite de Andrade Neto,2600000,190,190,2,2,4,9,True,False,True,False,False,False,False,False,False,False,False,35211
False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False,False,3,9,Zona Oeste,Barra da Tijuca,Rua Jornalista Henrique Cordeiro,960000,88,88,1,1,2,16,False,False,False,False,False,False,False,False,False,False,False,21600
True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Flamboyants da Península,1200000,78,78,1,1,2,26,True,True,False,False,False,False,False,False,False,False,False,25906
False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,2,112,Zona Norte,Tijuca,Rua Barão de Mesquita,750000,124,124,2,1,2,7,True,False,False,False,False,False,False,False,False,False,False,10880
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Rua Albano de Carvalho,1490000,320,320,1,2,4,0,False,False,False,False,False,False,False,False,False,False,False,21589
True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,True,4,28,Zona Sul,Copacabana,Rua Figueiredo Magalhães,630000,80,80,0,0,2,39,True,True,False,False,False,False,False,False,False,False,False,10428
